Day,Actual_Volume_GB,Provisioned_Volume_GB,Daily_Cost,Manual_Interventions,MTBF,MTTR,Failures,Scaling
1,100,150.0,0.4,1,90,,0,Manual
2,102,153.0,0.41,1,90,3.72,1,Manual
3,104,156.0,0.42,1,90,,0,Manual
4,106,159.0,0.42,1,90,,0,Manual
5,108,162.0,0.43,1,90,2.68,1,Manual
6,110,165.0,0.44,1,90,,0,Manual
7,112,168.0,0.45,1,90,,0,Manual
8,114,171.0,0.46,1,90,,0,Manual
9,116,174.0,0.46,1,90,,0,Manual
10,118,177.0,0.47,1,90,,0,Manual
11,120,180.0,0.48,1,90,,0,Manual
12,122,183.0,0.49,1,90,,0,Manual
13,124,186.0,0.5,1,90,,0,Manual
14,126,189.0,0.5,1,90,,0,Manual
15,128,192.0,0.51,1,90,,0,Manual
16,130,195.0,0.52,1,90,,0,Manual
17,132,198.0,0.53,1,90,2.36,1,Manual
18,134,201.0,0.54,1,90,,0,Manual
19,136,204.0,0.54,1,90,,0,Manual
20,138,207.0,0.55,1,90,3.24,1,Manual
21,140,210.0,0.56,1,90,,0,Manual
22,142,213.0,0.57,1,90,,0,Manual
23,144,216.0,0.58,1,90,3.29,1,Manual
24,146,219.0,0.58,1,90,3.05,1,Manual
25,148,222.0,0.59,1,90,3.76,1,Manual
26,150,225.0,0.6,1,90,,0,Manual
27,152,228.0,0.61,1,90,,0,Manual
28,154,231.0,0.62,1,90,3.75,1,Manual
29,156,234.0,0.62,1,90,,0,Manual
30,158,237.0,0.63,1,90,,0,Manual
1,100,120.0,0.32,0,720,,0,Automated
2,102,122.4,0.33,0,720,,0,Automated
3,104,124.8,0.33,0,720,,0,Automated
4,106,127.2,0.34,0,720,,0,Automated
5,108,129.6,0.35,0,720,,0,Automated
6,110,132.0,0.35,0,720,,0,Automated
7,112,134.4,0.36,0,720,,0,Automated
8,114,136.8,0.36,0,720,,0,Automated
9,116,139.2,0.37,0,720,,0,Automated
10,118,141.6,0.38,0,720,,0,Automated
11,120,144.0,0.38,0,720,,0,Automated
12,122,146.4,0.39,0,720,,0,Automated
13,124,148.8,0.4,0,720,,0,Automated
14,126,151.2,0.4,0,720,,0,Automated
15,128,153.6,0.41,0,720,,0,Automated
16,130,156.0,0.42,0,720,,0,Automated
17,132,158.4,0.42,0,720,,0,Automated
18,134,160.8,0.43,0,720,,0,Automated
19,136,163.2,0.44,0,720,0.24,1,Automated
20,138,165.6,0.44,0,720,,0,Automated
21,140,168.0,0.45,0,720,,0,Automated
22,142,170.4,0.45,0,720,,0,Automated
23,144,172.8,0.46,0,720,,0,Automated
24,146,175.2,0.47,0,720,,0,Automated
25,148,177.6,0.47,0,720,,0,Automated
26,150,180.0,0.48,0,720,,0,Automated
27,152,182.4,0.49,0,720,,0,Automated
28,154,184.8,0.49,0,720,,0,Automated
29,156,187.2,0.5,0,720,,0,Automated
30,158,189.6,0.51,0,720,,0,Automated
