Day,Actual_Volume_GB,Provisioned_Volume_GB,Daily_Cost,Manual_Interventions,MTBF,MTTR,Failures,Scaling
1,100,120.0,0.32,0,720,,0,Automated
2,102,122.4,0.33,0,720,,0,Automated
3,104,124.8,0.33,0,720,,0,Automated
4,106,127.2,0.34,0,720,,0,Automated
5,108,129.6,0.35,0,720,,0,Automated
6,110,132.0,0.35,0,720,,0,Automated
7,112,134.4,0.36,0,720,,0,Automated
8,114,136.8,0.36,0,720,,0,Automated
9,116,139.2,0.37,0,720,,0,Automated
10,118,141.6,0.38,0,720,,0,Automated
11,120,144.0,0.38,0,720,,0,Automated
12,122,146.4,0.39,0,720,,0,Automated
13,124,148.8,0.4,0,720,,0,Automated
14,126,151.2,0.4,0,720,,0,Automated
15,128,153.6,0.41,0,720,,0,Automated
16,130,156.0,0.42,0,720,,0,Automated
17,132,158.4,0.42,0,720,,0,Automated
18,134,160.8,0.43,0,720,,0,Automated
19,136,163.2,0.44,0,720,0.24,1,Automated
20,138,165.6,0.44,0,720,,0,Automated
21,140,168.0,0.45,0,720,,0,Automated
22,142,170.4,0.45,0,720,,0,Automated
23,144,172.8,0.46,0,720,,0,Automated
24,146,175.2,0.47,0,720,,0,Automated
25,148,177.6,0.47,0,720,,0,Automated
26,150,180.0,0.48,0,720,,0,Automated
27,152,182.4,0.49,0,720,,0,Automated
28,154,184.8,0.49,0,720,,0,Automated
29,156,187.2,0.5,0,720,,0,Automated
30,158,189.6,0.51,0,720,,0,Automated
